isoform_id	gencode_biotype
ENST00000481924.2	protein_coding
ENST00000356836.10	protein_coding
ENST00000488865.2	nonsense_mediated_decay
ENST00000873955.1	protein_coding
ENST00000485271.6	nonsense_mediated_decay
ENST00000475516.5	nonsense_mediated_decay
ENST00000481571.5	nonsense_mediated_decay
ENST00000626177.2	nonsense_mediated_decay
ENST00000290795.7	protein_coding
ENST00000893421.1	protein_coding
ENST00000689756.1	nonsense_mediated_decay
ENST00000496387.5	nonsense_mediated_decay
ENST00000307089.7	nonsense_mediated_decay
ENST00000341183.9	protein_coding
ENST00000528077.6	nonsense_mediated_decay
ENST00000319928.9	protein_coding
ENST00000680460.1	nonsense_mediated_decay
ENST00000371733.8	protein_coding
ENST00000371466.4	protein_coding
ENST00000900036.1	protein_coding
ENST00000534324.6	protein_coding
ENST00000715913.1	protein_coding
ENST00000673913.2	nonsense_mediated_decay
ENST00000468257.2	nonsense_mediated_decay
ENST00000489099.5	nonsense_mediated_decay
ENST00000342505.5	protein_coding
ENST00000401041.6	protein_coding
ENST00000370986.9	protein_coding
ENST00000915572.1	protein_coding
ENST00000679976.1	nonsense_mediated_decay
ENST00000370763.6	protein_coding
ENST00000260505.13	protein_coding
ENST00000331835.10	protein_coding
ENST00000489444.6	nonsense_mediated_decay
ENST00000493594.6	nonsense_mediated_decay
ENST00000235878.5	nonsense_mediated_decay
ENST00000394583.7	nonsense_mediated_decay
ENST00000260506.12	protein_coding
ENST00000484213.1	protein_coding_CDS_not_defined
ENST00000879625.1	protein_coding
ENST00000476419.5	nonsense_mediated_decay
ENST00000361915.8	protein_coding
ENST00000640357.1	nonsense_mediated_decay
ENST00000482437.5	nonsense_mediated_decay
ENST00000850622.1	nonsense_mediated_decay
ENST00000903271.1	protein_coding
ENST00000370021.1	protein_coding
ENST00000674992.1	nonsense_mediated_decay
ENST00000338272.9	protein_coding
ENST00000310611.8	protein_coding
ENST00000461647.6	nonsense_mediated_decay
ENST00000492412.2	nonsense_mediated_decay
ENST00000685980.2	nonsense_mediated_decay
ENST00000697409.1	nonsense_mediated_decay
ENST00000697410.1	nonsense_mediated_decay
ENST00000700751.1	nonsense_mediated_decay
ENST00000681559.1	nonsense_mediated_decay
ENST00000484280.6	nonsense_mediated_decay
ENST00000393300.6	protein_coding
ENST00000261443.9	protein_coding
ENST00000433172.3	protein_coding
ENST00000464088.5	nonsense_mediated_decay
ENST00000369487.3	protein_coding
ENST00000369426.9	protein_coding
ENST00000581897.7	protein_coding
ENST00000969982.1	protein_coding
ENST00000460277.5	nonsense_mediated_decay
ENST00000698762.1	nonsense_mediated_decay
ENST00000854709.1	protein_coding
ENST00000896001.1	protein_coding
ENST00000652616.1	nonsense_mediated_decay
ENST00000650721.1	nonsense_mediated_decay
ENST00000467213.5	nonsense_mediated_decay
ENST00000488165.5	nonsense_mediated_decay
ENST00000760828.1	lncRNA
ENST00000788370.1	lncRNA
ENST00000652191.1	protein_coding
ENST00000614272.1	nonsense_mediated_decay
ENST00000581312.6	protein_coding
ENST00000698593.1	nonsense_mediated_decay
ENST00000877305.1	protein_coding
ENST00000877303.1	protein_coding
ENST00000369102.5	protein_coding
ENST00000913716.1	protein_coding
ENST00000346569.6	protein_coding
ENST00000678337.1	protein_coding
ENST00000904323.1	protein_coding
ENST00000368947.9	protein_coding
ENST00000368908.10	protein_coding
ENST00000409426.5	protein_coding
ENST00000368872.5	protein_coding
ENST00000651814.1	nonsense_mediated_decay
ENST00000471464.5	nonsense_mediated_decay
ENST00000896466.1	protein_coding
ENST00000354332.8	protein_coding
ENST00000344616.4	protein_coding
ENST00000392623.5	protein_coding
ENST00000368687.1	protein_coding
ENST00000877427.1	protein_coding
ENST00000509409.5	nonsense_mediated_decay
ENST00000368521.10	protein_coding
ENST00000368519.5	protein_coding
ENST00000304760.3	protein_coding
ENST00000681901.1	nonsense_mediated_decay
ENST00000650403.1	nonsense_mediated_decay
ENST00000368405.7	nonsense_mediated_decay
ENST00000715141.1	nonsense_mediated_decay
ENST00000488784.6	nonsense_mediated_decay
ENST00000477470.2	nonsense_mediated_decay
ENST00000368279.7	protein_coding
ENST00000497069.2	nonsense_mediated_decay
ENST00000361813.5	protein_coding
ENST00000295694.9	protein_coding
ENST00000497287.6	nonsense_mediated_decay
ENST00000858113.1	protein_coding
ENST00000465101.1	retained_intron
ENST00000472750.5	nonsense_mediated_decay
ENST00000699543.1	nonsense_mediated_decay
ENST00000473969.6	nonsense_mediated_decay
ENST00000368002.8	protein_coding
ENST00000652473.1	nonsense_mediated_decay
ENST00000677045.1	nonsense_mediated_decay
ENST00000458626.4	protein_coding
ENST00000446985.6	protein_coding
ENST00000367921.8	protein_coding
ENST00000367876.9	protein_coding
ENST00000525440.5	nonsense_mediated_decay
ENST00000686870.1	nonsense_mediated_decay
ENST00000692875.1	nonsense_mediated_decay
ENST00000688499.1	nonsense_mediated_decay
ENST00000498166.6	nonsense_mediated_decay
ENST00000689173.1	nonsense_mediated_decay
ENST00000474047.5	nonsense_mediated_decay
ENST00000920092.1	protein_coding
ENST00000460816.5	protein_coding_CDS_not_defined
ENST00000635248.1	nonsense_mediated_decay
ENST00000367677.3	nonsense_mediated_decay
ENST00000344730.8	protein_coding
ENST00000540564.5	protein_coding
ENST00000462677.3	nonsense_mediated_decay
ENST00000645963.2	protein_coding
ENST00000367498.8	protein_coding
ENST00000459929.6	nonsense_mediated_decay
ENST00000647657.1	retained_intron
ENST00000550078.3	protein_coding
ENST00000690849.1	nonsense_mediated_decay
ENST00000463049.6	nonsense_mediated_decay
ENST00000367128.8	protein_coding
ENST00000356495.5	protein_coding
ENST00000367027.5	protein_coding
ENST00000696134.1	nonsense_mediated_decay
ENST00000341491.9	protein_coding
ENST00000613104.1	protein_coding
ENST00000615329.4	protein_coding
ENST00000891852.1	protein_coding
ENST00000477026.5	nonsense_mediated_decay
ENST00000350027.8	protein_coding
ENST00000523990.1	nonsense_mediated_decay
ENST00000391875.6	protein_coding
ENST00000860910.1	protein_coding
ENST00000677414.1	protein_coding
ENST00000422240.6	protein_coding
ENST00000608949.5	protein_coding
ENST00000644483.1	nonsense_mediated_decay
ENST00000366624.8	protein_coding
ENST00000366621.8	protein_coding
ENST00000466653.1	retained_intron
ENST00000855443.1	protein_coding
ENST00000282841.9	protein_coding
ENST00000647418.1	nonsense_mediated_decay
ENST00000643994.1	nonsense_mediated_decay
ENST00000645582.1	nonsense_mediated_decay
ENST00000646186.1	nonsense_mediated_decay
ENST00000643142.1	nonsense_mediated_decay
ENST00000366601.8	protein_coding
ENST00000354619.10	protein_coding
ENST00000683111.1	nonsense_mediated_decay
ENST00000318160.5	protein_coding
ENST00000684161.1	retained_intron
ENST00000469376.5	nonsense_mediated_decay
ENST00000490673.5	nonsense_mediated_decay
ENST00000522522.5	retained_intron
ENST00000366511.2	nonsense_mediated_decay
ENST00000857035.1	protein_coding
ENST00000479214.5	nonsense_mediated_decay
ENST00000366504.6	nonsense_mediated_decay
ENST00000810129.1	lncRNA
ENST00000294753.8	protein_coding
ENST00000533927.5	retained_intron
ENST00000432667.5	nonsense_mediated_decay
ENST00000252804.9	protein_coding
ENST00000436842.5	nonsense_mediated_decay
ENST00000679863.1	nonsense_mediated_decay
ENST00000305997.8	protein_coding
ENST00000434858.5	nonsense_mediated_decay
ENST00000304567.10	protein_coding
ENST00000485717.1	retained_intron
ENST00000677437.1	nonsense_mediated_decay
ENST00000862145.1	protein_coding
ENST00000899122.1	protein_coding
ENST00000304031.8	protein_coding
ENST00000313213.5	protein_coding
ENST00000260662.2	protein_coding
ENST00000380809.7	nonsense_mediated_decay
ENST00000398951.6	nonsense_mediated_decay
ENST00000852054.1	protein_coding
ENST00000414029.1	nonsense_mediated_decay
ENST00000969425.1	protein_coding
ENST00000405940.6	nonsense_mediated_decay
ENST00000427123.5	nonsense_mediated_decay
ENST00000872249.1	protein_coding
ENST00000696014.1	nonsense_mediated_decay
ENST00000688724.1	nonsense_mediated_decay
ENST00000686125.1	nonsense_mediated_decay
ENST00000693232.1	retained_intron
ENST00000642999.1	protein_coding
ENST00000451623.5	nonsense_mediated_decay
ENST00000860003.1	protein_coding
ENST00000651368.1	protein_coding
ENST00000425778.5	nonsense_mediated_decay
ENST00000443213.5	nonsense_mediated_decay
ENST00000294964.6	protein_coding
ENST00000463456.5	retained_intron
ENST00000319190.11	protein_coding
ENST00000700003.1	nonsense_mediated_decay
ENST00000416913.5	nonsense_mediated_decay
ENST00000686424.1	nonsense_mediated_decay
ENST00000402285.7	protein_coding
ENST00000403676.6	nonsense_mediated_decay
ENST00000301998.5	protein_coding
ENST00000695960.1	nonsense_mediated_decay
ENST00000355848.7	protein_coding
ENST00000410067.8	protein_coding
ENST00000377957.4	protein_coding
ENST00000450162.6	nonsense_mediated_decay
ENST00000711613.1	nonsense_mediated_decay
ENST00000234396.10	protein_coding
ENST00000498749.2	nonsense_mediated_decay
ENST00000939343.1	protein_coding
ENST00000904808.1	protein_coding
ENST00000683149.1	nonsense_mediated_decay
ENST00000682379.1	nonsense_mediated_decay
ENST00000682351.1	protein_coding
ENST00000452063.7	protein_coding
ENST00000649777.1	retained_intron
ENST00000647753.1	nonsense_mediated_decay
ENST00000393965.8	protein_coding
ENST00000424122.5	nonsense_mediated_decay
ENST00000341396.2	protein_coding
ENST00000425118.5	nonsense_mediated_decay
ENST00000446927.5	nonsense_mediated_decay
ENST00000393913.8	protein_coding
ENST00000410113.5	protein_coding
ENST00000651342.1	nonsense_mediated_decay
ENST00000409133.1	protein_coding
ENST00000306353.8	nonsense_mediated_decay
ENST00000461206.1	protein_coding_CDS_not_defined
ENST00000312912.10	protein_coding
ENST00000409225.2	protein_coding
ENST00000684740.1	retained_intron
ENST00000688880.3	lncRNA
ENST00000309988.9	protein_coding
ENST00000345084.11	nonsense_mediated_decay
ENST00000695437.2	nonsense_mediated_decay
ENST00000258439.8	protein_coding
ENST00000444759.5	nonsense_mediated_decay
ENST00000434524.5	nonsense_mediated_decay
ENST00000409733.5	protein_coding
ENST00000424632.5	nonsense_mediated_decay
ENST00000332549.8	protein_coding
ENST00000427077.1	nonsense_mediated_decay
ENST00000438943.5	nonsense_mediated_decay
ENST00000411991.5	nonsense_mediated_decay
ENST00000414829.2	protein_coding
ENST00000233336.7	protein_coding
ENST00000333990.10	nonsense_mediated_decay
ENST00000696881.1	protein_coding
ENST00000358604.7	nonsense_mediated_decay
ENST00000801455.1	lncRNA
ENST00000801470.1	lncRNA
ENST00000411929.5	nonsense_mediated_decay
ENST00000409094.5	protein_coding
ENST00000644317.1	nonsense_mediated_decay
ENST00000259253.11	protein_coding
ENST00000259241.7	protein_coding
ENST00000442217.5	nonsense_mediated_decay
ENST00000241393.4	protein_coding
ENST00000409512.5	protein_coding
ENST00000303319.10	protein_coding
ENST00000428879.5	protein_coding
ENST00000375734.6	protein_coding
ENST00000685752.1	nonsense_mediated_decay
ENST00000492005.1	protein_coding_CDS_not_defined
ENST00000683514.1	retained_intron
ENST00000259050.8	protein_coding
ENST00000676810.1	protein_coding
ENST00000480044.5	retained_intron
ENST00000263915.8	protein_coding
ENST00000867648.1	protein_coding
ENST00000857416.1	protein_coding
ENST00000697326.1	nonsense_mediated_decay
ENST00000234198.9	protein_coding
ENST00000392571.6	protein_coding
ENST00000410055.5	protein_coding
ENST00000877603.1	protein_coding
ENST00000345739.10	nonsense_mediated_decay
ENST00000428760.5	nonsense_mediated_decay
ENST00000456655.5	nonsense_mediated_decay
ENST00000420864.5	nonsense_mediated_decay
ENST00000677253.1	nonsense_mediated_decay
ENST00000677460.1	nonsense_mediated_decay
ENST00000424699.5	nonsense_mediated_decay
ENST00000470945.2	nonsense_mediated_decay
ENST00000233092.10	nonsense_mediated_decay
ENST00000435079.1	nonsense_mediated_decay
ENST00000419184.1	nonsense_mediated_decay
ENST00000431877.7	protein_coding
ENST00000374930.7	nonsense_mediated_decay
ENST00000906657.1	protein_coding
ENST00000307834.9	nonsense_mediated_decay
ENST00000307849.7	nonsense_mediated_decay
ENST00000282272.15	protein_coding
ENST00000483328.5	nonsense_mediated_decay
ENST00000441832.1	nonsense_mediated_decay
ENST00000432425.5	nonsense_mediated_decay
ENST00000286181.7	nonsense_mediated_decay
ENST00000237889.9	protein_coding
ENST00000454214.1	protein_coding
ENST00000332624.8	protein_coding
ENST00000286196.9	nonsense_mediated_decay
ENST00000959424.1	protein_coding
ENST00000449301.5	nonsense_mediated_decay
ENST00000461371.5	protein_coding_CDS_not_defined
ENST00000431118.5	nonsense_mediated_decay
ENST00000233190.11	protein_coding
ENST00000650811.1	nonsense_mediated_decay
ENST00000199940.10	protein_coding
ENST00000438204.6	protein_coding
ENST00000620057.4	nonsense_mediated_decay
ENST00000455743.5	nonsense_mediated_decay
ENST00000443953.5	nonsense_mediated_decay
ENST00000248450.9	protein_coding
ENST00000881109.1	protein_coding
ENST00000360507.10	protein_coding
ENST00000273048.2	nonsense_mediated_decay
ENST00000289528.10	protein_coding
ENST00000409033.7	nonsense_mediated_decay
ENST00000396738.7	protein_coding
ENST00000392086.8	protein_coding
ENST00000373963.5	nonsense_mediated_decay
ENST00000688634.1	nonsense_mediated_decay
ENST00000955382.1	protein_coding
ENST00000396654.7	protein_coding
ENST00000446015.6	protein_coding
ENST00000409304.6	protein_coding
ENST00000283946.8	protein_coding
ENST00000874560.1	protein_coding
ENST00000410024.5	protein_coding
ENST00000347464.9	protein_coding
ENST00000446481.6	nonsense_mediated_decay
ENST00000409373.5	protein_coding
ENST00000289175.10	protein_coding
ENST00000244815.9	protein_coding
ENST00000441728.6	nonsense_mediated_decay
ENST00000417231.5	nonsense_mediated_decay
ENST00000409182.1	protein_coding
ENST00000405954.2	protein_coding
ENST00000270357.10	protein_coding
ENST00000357048.8	nonsense_mediated_decay
ENST00000391983.7	nonsense_mediated_decay
ENST00000401869.5	protein_coding
ENST00000400769.6	nonsense_mediated_decay
ENST00000321264.9	protein_coding
ENST00000651093.1	nonsense_mediated_decay
ENST00000651352.1	nonsense_mediated_decay
ENST00000434583.5	nonsense_mediated_decay
ENST00000456506.2	nonsense_mediated_decay
ENST00000415439.5	nonsense_mediated_decay
ENST00000683986.1	retained_intron
ENST00000434065.5	nonsense_mediated_decay
ENST00000383814.8	protein_coding
ENST00000673737.2	nonsense_mediated_decay
ENST00000452070.6	protein_coding
ENST00000287652.8	protein_coding
ENST00000903205.1	protein_coding
ENST00000681433.1	nonsense_mediated_decay
ENST00000677816.1	nonsense_mediated_decay
ENST00000251849.9	protein_coding
ENST00000435575.5	protein_coding
ENST00000432444.2	nonsense_mediated_decay
ENST00000476581.6	nonsense_mediated_decay
ENST00000253686.7	protein_coding
ENST00000449565.1	nonsense_mediated_decay
ENST00000442255.5	nonsense_mediated_decay
ENST00000446547.5	nonsense_mediated_decay
ENST00000924914.1	protein_coding
ENST00000330688.9	protein_coding
ENST00000470132.2	retained_intron
ENST00000466830.6	protein_coding
ENST00000888968.1	protein_coding
ENST00000810626.1	lncRNA
ENST00000454304.6	nonsense_mediated_decay
ENST00000273183.8	protein_coding
ENST00000673972.1	nonsense_mediated_decay
ENST00000264741.10	protein_coding
ENST00000311806.8	protein_coding
ENST00000453680.6	nonsense_mediated_decay
ENST00000452389.7	nonsense_mediated_decay
ENST00000695412.1	nonsense_mediated_decay
ENST00000419156.6	nonsense_mediated_decay
ENST00000435633.5	nonsense_mediated_decay
ENST00000432264.4	protein_coding
ENST00000339296.10	protein_coding
ENST00000273156.11	protein_coding
ENST00000481892.1	retained_intron
ENST00000649763.1	nonsense_mediated_decay
ENST00000643500.1	nonsense_mediated_decay
ENST00000642351.1	protein_coding
ENST00000412611.6	nonsense_mediated_decay
ENST00000383745.6	protein_coding
ENST00000418611.5	protein_coding
ENST00000441228.5	nonsense_mediated_decay
ENST00000706810.1	nonsense_mediated_decay
ENST00000296140.4	protein_coding
ENST00000231751.9	protein_coding
ENST00000441517.6	nonsense_mediated_decay
ENST00000442215.6	nonsense_mediated_decay
ENST00000313778.9	protein_coding
ENST00000418109.5	protein_coding
ENST00000948551.1	protein_coding
ENST00000265560.9	protein_coding
ENST00000320431.8	protein_coding
ENST00000714251.1	nonsense_mediated_decay
ENST00000327761.7	protein_coding
ENST00000395117.6	nonsense_mediated_decay
ENST00000528157.7	protein_coding
ENST00000417220.6	protein_coding
ENST00000636880.1	nonsense_mediated_decay
ENST00000310271.6	protein_coding
ENST00000679180.1	retained_intron
ENST00000676989.1	nonsense_mediated_decay
ENST00000678549.1	nonsense_mediated_decay
ENST00000477382.2	protein_coding
ENST00000436784.7	protein_coding
ENST00000471180.5	protein_coding
ENST00000296288.9	protein_coding
ENST00000231721.7	protein_coding
ENST00000420808.2	protein_coding
ENST00000394799.6	protein_coding
ENST00000468776.5	nonsense_mediated_decay
ENST00000469364.5	nonsense_mediated_decay
ENST00000482387.7	protein_coding
ENST00000398559.7	protein_coding
ENST00000676705.1	protein_coding
ENST00000261037.7	protein_coding
ENST00000704530.1	protein_coding
ENST00000495719.1	retained_intron
ENST00000394030.8	protein_coding
ENST00000438817.6	protein_coding
ENST00000412622.5	protein_coding
ENST00000478922.1	protein_coding
ENST00000486886.1	retained_intron
ENST00000491580.1	nonsense_mediated_decay
ENST00000264848.10	protein_coding
ENST00000478595.1	nonsense_mediated_decay
ENST00000461431.1	protein_coding
ENST00000295864.9	nonsense_mediated_decay
ENST00000472637.5	nonsense_mediated_decay
ENST00000473284.5	nonsense_mediated_decay
ENST00000462295.5	nonsense_mediated_decay
ENST00000470455.5	nonsense_mediated_decay
ENST00000870488.1	protein_coding
ENST00000483272.1	retained_intron
ENST00000863544.1	protein_coding
ENST00000264234.8	protein_coding
ENST00000486607.5	nonsense_mediated_decay
ENST00000647766.1	nonsense_mediated_decay
ENST00000485064.1	protein_coding
ENST00000490434.5	nonsense_mediated_decay
ENST00000891215.1	protein_coding
ENST00000494339.5	nonsense_mediated_decay
ENST00000900354.1	protein_coding
ENST00000474629.7	protein_coding
ENST00000489923.5	nonsense_mediated_decay
ENST00000409697.8	protein_coding
ENST00000467167.5	nonsense_mediated_decay
ENST00000251775.9	protein_coding
ENST00000894120.1	protein_coding
ENST00000393400.6	nonsense_mediated_decay
ENST00000474964.6	nonsense_mediated_decay
ENST00000511227.5	nonsense_mediated_decay
ENST00000324093.9	protein_coding
ENST00000507978.5	nonsense_mediated_decay
ENST00000473208.5	retained_intron
ENST00000484181.5	nonsense_mediated_decay
ENST00000469964.5	nonsense_mediated_decay
ENST00000698923.1	nonsense_mediated_decay
ENST00000489213.5	protein_coding
ENST00000677309.1	nonsense_mediated_decay
ENST00000502594.5	nonsense_mediated_decay
ENST00000477012.5	nonsense_mediated_decay
ENST00000488497.7	nonsense_mediated_decay
ENST00000448787.7	nonsense_mediated_decay
ENST00000496491.2	lncRNA
ENST00000493348.1	nonsense_mediated_decay
ENST00000473414.6	protein_coding
ENST00000474348.5	nonsense_mediated_decay
ENST00000477889.5	protein_coding
ENST00000471696.6	protein_coding
ENST00000260843.5	protein_coding
ENST00000675418.2	protein_coding
ENST00000482061.6	nonsense_mediated_decay
ENST00000465810.1	nonsense_mediated_decay
ENST00000468581.2	nonsense_mediated_decay
ENST00000644094.1	nonsense_mediated_decay
ENST00000295924.12	protein_coding
ENST00000631619.1	nonsense_mediated_decay
ENST00000873027.1	protein_coding
ENST00000491767.6	protein_coding
ENST00000237696.10	protein_coding
ENST00000484166.5	nonsense_mediated_decay
ENST00000446859.7	protein_coding
ENST00000900472.1	protein_coding
ENST00000485523.5	protein_coding
ENST00000471841.6	protein_coding
ENST00000232564.8	protein_coding
ENST00000392659.2	protein_coding
ENST00000492563.1	nonsense_mediated_decay
ENST00000471496.8	lncRNA
ENST00000639900.1	nonsense_mediated_decay
ENST00000421484.5	nonsense_mediated_decay
ENST00000443376.5	nonsense_mediated_decay
ENST00000648890.1	nonsense_mediated_decay
ENST00000883704.1	protein_coding
ENST00000456380.5	nonsense_mediated_decay
ENST00000423298.5	lncRNA
ENST00000480706.1	protein_coding_CDS_not_defined
ENST00000426808.5	nonsense_mediated_decay
ENST00000425053.5	nonsense_mediated_decay
ENST00000443963.5	nonsense_mediated_decay
ENST00000437221.5	protein_coding
ENST00000456148.1	protein_coding
ENST00000853275.1	protein_coding
ENST00000691700.1	retained_intron
ENST00000445522.6	protein_coding
ENST00000774693.1	lncRNA
ENST00000446494.1	nonsense_mediated_decay
ENST00000273695.4	protein_coding
ENST00000429160.1	nonsense_mediated_decay
ENST00000311630.7	protein_coding
ENST00000323460.10	protein_coding
ENST00000296351.8	protein_coding
ENST00000449003.8	retained_intron
ENST00000265239.11	protein_coding
ENST00000515578.5	nonsense_mediated_decay
ENST00000894694.1	protein_coding
ENST00000894695.1	protein_coding
ENST00000677895.1	protein_coding
ENST00000513372.5	retained_intron
ENST00000510267.5	protein_coding
ENST00000503596.5	nonsense_mediated_decay
ENST00000898374.1	protein_coding
ENST00000706688.1	nonsense_mediated_decay
ENST00000507123.1	retained_intron
ENST00000515682.5	nonsense_mediated_decay
ENST00000508274.5	nonsense_mediated_decay
ENST00000630951.1	nonsense_mediated_decay
ENST00000511441.5	nonsense_mediated_decay
ENST00000505603.5	nonsense_mediated_decay
ENST00000507439.5	nonsense_mediated_decay
ENST00000510451.5	nonsense_mediated_decay
ENST00000681640.1	retained_intron
ENST00000512286.1	retained_intron
ENST00000695922.1	protein_coding
ENST00000514033.1	protein_coding
ENST00000399820.8	protein_coding
ENST00000950959.1	protein_coding
ENST00000511852.5	nonsense_mediated_decay
ENST00000507741.5	nonsense_mediated_decay
ENST00000680700.1	protein_coding
ENST00000504757.2	protein_coding
ENST00000640821.3	protein_coding
ENST00000317745.11	protein_coding
ENST00000503359.5	nonsense_mediated_decay
ENST00000286648.10	protein_coding
ENST00000510031.1	nonsense_mediated_decay
ENST00000244869.3	protein_coding
ENST00000395710.5	nonsense_mediated_decay
ENST00000695556.1	nonsense_mediated_decay
ENST00000639300.1	nonsense_mediated_decay
ENST00000853410.1	protein_coding
ENST00000334306.4	protein_coding
ENST00000515853.5	nonsense_mediated_decay
ENST00000415738.3	protein_coding
ENST00000502762.4	nonsense_mediated_decay
ENST00000630114.2	nonsense_mediated_decay
ENST00000509635.5	protein_coding
ENST00000508502.5	protein_coding
ENST00000507019.5	protein_coding
ENST00000237623.11	protein_coding
ENST00000264350.8	protein_coding
ENST00000627587.2	nonsense_mediated_decay
ENST00000542407.5	protein_coding
ENST00000273986.10	protein_coding
ENST00000503103.5	protein_coding
ENST00000341695.10	protein_coding
ENST00000467183.6	nonsense_mediated_decay
ENST00000265174.5	protein_coding
ENST00000908819.1	protein_coding
ENST00000639146.1	nonsense_mediated_decay
ENST00000863519.1	protein_coding
ENST00000863524.1	protein_coding
ENST00000509622.5	nonsense_mediated_decay
ENST00000505216.2	nonsense_mediated_decay
ENST00000333047.9	nonsense_mediated_decay
ENST00000871953.1	protein_coding
ENST00000641025.1	nonsense_mediated_decay
ENST00000648358.2	protein_coding
ENST00000344876.9	protein_coding
ENST00000503997.5	nonsense_mediated_decay
ENST00000325617.10	protein_coding
ENST00000899908.1	protein_coding
ENST00000296545.11	protein_coding
ENST00000514886.1	nonsense_mediated_decay
ENST00000675838.1	protein_coding
ENST00000674967.1	protein_coding
ENST00000855787.1	protein_coding
ENST00000433477.4	protein_coding
ENST00000676791.2	nonsense_mediated_decay
ENST00000274071.6	nonsense_mediated_decay
ENST00000264428.9	protein_coding
ENST00000511532.5	nonsense_mediated_decay
ENST00000296533.3	protein_coding
ENST00000402744.9	protein_coding
ENST00000515088.5	protein_coding_CDS_not_defined
ENST00000393674.7	protein_coding
ENST00000302350.4	protein_coding
ENST00000696850.1	nonsense_mediated_decay
ENST00000510755.5	nonsense_mediated_decay
ENST00000508698.3	nonsense_mediated_decay
ENST00000869700.1	protein_coding
ENST00000721041.1	lncRNA
ENST00000255764.4	protein_coding
ENST00000513117.1	nonsense_mediated_decay
ENST00000504286.2	nonsense_mediated_decay
ENST00000264669.10	protein_coding
ENST00000510659.5	nonsense_mediated_decay
ENST00000505366.1	retained_intron
ENST00000508361.5	nonsense_mediated_decay
ENST00000231338.7	protein_coding
ENST00000513914.5	nonsense_mediated_decay
ENST00000506850.5	protein_coding
ENST00000296603.5	protein_coding
ENST00000677911.1	nonsense_mediated_decay
ENST00000274276.8	protein_coding
ENST00000281623.8	protein_coding
ENST00000361970.10	protein_coding
ENST00000655830.3	lncRNA
ENST00000510026.5	nonsense_mediated_decay
ENST00000397080.8	protein_coding
ENST00000505896.5	retained_intron
ENST00000450852.8	protein_coding
ENST00000256759.8	protein_coding
ENST00000506974.5	nonsense_mediated_decay
ENST00000812511.1	lncRNA
ENST00000381403.4	protein_coding
ENST00000501463.2	nonsense_mediated_decay
ENST00000870435.1	protein_coding
ENST00000503773.6	nonsense_mediated_decay
