isoform_id	K	atg_sum	stop_sum	tx_length	covered	n_windows	last_covered	enc_cached	enc_naive	is_nmd	gene_id
ENSG00000004534.16.novel2	22	18488	13983	3695	2339	44	2339	152877	463122	1	ENSG00000004534.16
ENSG00000004534.16.novel27	31	23471	17291	4435	3444	62	4435	192699	960876	0	ENSG00000004534.16
ENSG00000004534.16.novel3	7	5087	4001	1954	1510	14	1510	42525	95130	1	ENSG00000004534.16
ENSG00000004534.16.novel4	7	3493	3755	2145	1552	14	1552	32223	97776	0	ENSG00000004534.16
ENSG00000004660.16.novel2	17	13327	10528	3609	2766	34	2766	111546	423198	1	ENSG00000004660.16
ENSG00000004700.17.novel1	47	42657	30751	5353	3154	94	3154	348195	1334142	0	ENSG00000004700.17
ENSG00000004700.17.novel2	52	45862	33614	5843	3436	104	3436	376014	1608048	0	ENSG00000004700.17
ENSG00000004700.17.novel21	41	33400	24148	5011	3038	82	3038	272844	1121022	0	ENSG00000004700.17
ENSG00000004700.17.novel5	41	34381	27598	4058	2718	82	2718	289080	1002942	0	ENSG00000004700.17
ENSG00000004700.17.novel54	29	25607	16494	5216	3094	58	3094	203124	807534	0	ENSG00000004700.17
ENSG00000004766.18.novel10	45	30402	25050	4890	3004	90	3004	257562	1216620	0	ENSG00000004766.18
ENSG00000004766.18.novel13	40	31516	21531	4612	2839	80	2839	253689	1022040	0	ENSG00000004766.18
ENSG00000004766.18.novel8	26	20343	15166	5772	3768	52	3768	167556	881712	0	ENSG00000004766.18
ENSG00000004848.8.novel1	3	2398	2042	2372	1890	6	1890	20514	51030	0	ENSG00000004848.8
ENSG00000004864.15.novel1	16	12847	10974	3331	2854	32	2854	110004	410976	1	ENSG00000004864.15
ENSG00000004864.15.novel10	18	12970	9581	3586	2280	36	2280	106563	369360	0	ENSG00000004864.15
ENSG00000004864.15.novel2	17	12329	9324	3878	2352	34	2352	101946	359856	0	ENSG00000004864.15
ENSG00000004864.15.novel20	7	3130	3895	1425	1211	14	1211	30465	76293	0	ENSG00000004864.15
ENSG00000004864.15.novel4	16	11340	9388	3196	2723	32	2723	96204	392112	1	ENSG00000004864.15
ENSG00000004864.15.novel6	11	6741	6084	2058	1538	22	1538	58698	152262	0	ENSG00000004864.15
ENSG00000004866.23.novel10	23	19933	15100	3599	2443	46	2443	164898	505701	0	ENSG00000004866.23
ENSG00000004866.23.novel14	14	11241	9093	2419	2027	28	2027	94725	255402	1	ENSG00000004866.23
ENSG00000004866.23.novel16	9	7573	5952	2777	2385	18	2385	63294	193185	1	ENSG00000004866.23
ENSG00000004866.23.novel20	7	4474	4495	1867	1867	14	1867	40329	117621	0	ENSG00000004866.23
ENSG00000004866.23.novel25	17	14218	10618	3119	2062	34	2062	117162	315486	1	ENSG00000004866.23
ENSG00000004866.23.novel31	12	9366	6836	2507	2115	24	2115	76704	228420	1	ENSG00000004866.23
ENSG00000004897.13.novel8	10	4188	5709	1476	1476	20	1476	42255	132840	1	ENSG00000004897.13
ENSG00000004975.13.novel10	12	6929	7139	1830	1631	24	1631	62991	176148	0	ENSG00000004975.13
ENSG00000004975.13.novel12	9	4742	5594	1440	1411	18	1411	45234	114291	0	ENSG00000004975.13
ENSG00000004975.13.novel2	21	17960	15552	3272	3073	42	3073	154416	580797	1	ENSG00000004975.13
ENSG00000004975.13.novel3	21	17437	17084	2949	2920	42	2920	155874	551880	0	ENSG00000004975.13
ENSG00000004975.13.novel4	21	17515	15715	3075	2876	42	2876	152235	543564	1	ENSG00000004975.13
ENSG00000004975.13.novel9	20	13400	16927	2319	2290	40	2290	131181	412200	0	ENSG00000004975.13
ENSG00000005001.11.novel1	3	1754	1779	1555	1326	6	1326	15861	35802	1	ENSG00000005001.11
ENSG00000005001.11.novel2	3	1781	1917	1624	1624	6	1624	16437	43848	0	ENSG00000005001.11
ENSG00000005001.11.novel23	2	1534	1229	1833	1500	4	1500	12891	27000	1	ENSG00000005001.11
ENSG00000005007.15.novel12	19	13558	11136	4433	3212	38	3212	114756	549252	1	ENSG00000005007.15
ENSG00000005007.15.novel24	20	16418	15140	4619	3402	40	3402	143928	612360	0	ENSG00000005007.15
ENSG00000005059.17.novel1	16	12204	9377	2743	1932	32	1932	101355	278208	0	ENSG00000005059.17
ENSG00000005059.17.novel2	14	9394	8485	2590	1871	28	1871	81819	235746	0	ENSG00000005059.17
ENSG00000005059.17.novel6	22	17747	12293	3181	2462	44	2462	143361	487476	1	ENSG00000005059.17
ENSG00000005100.13.novel19	42	34287	25631	6451	3894	84	3894	282615	1471932	0	ENSG00000005100.13
ENSG00000005108.17.novel1	11	7373	6148	3433	1972	22	1972	62682	195228	0	ENSG00000005108.17
ENSG00000005108.17.novel4	55	37390	32656	5050	3135	110	3135	322308	1551825	0	ENSG00000005108.17
ENSG00000005156.13.novel1	66	58709	44005	8085	4665	132	4665	484269	2771010	0	ENSG00000005156.13
ENSG00000005156.13.novel12	42	30448	24817	6215	3607	84	3607	257139	1363446	0	ENSG00000005156.13
ENSG00000005156.13.novel20	55	49112	35164	7987	4567	110	4567	400164	2260665	0	ENSG00000005156.13
ENSG00000005175.11.novel1	29	20791	17092	4182	2612	58	2612	176022	681732	1	ENSG00000005175.11
ENSG00000005175.11.novel2	35	26173	20390	5237	3103	70	3103	218208	977445	1	ENSG00000005175.11
ENSG00000005175.11.novel3	28	19893	16218	3709	2636	56	2636	168012	664272	1	ENSG00000005175.11
ENSG00000005175.11.novel62	18	13680	9732	4702	2811	36	2811	111276	455382	0	ENSG00000005175.11
ENSG00000005189.21.novel1	16	12447	9838	2814	2660	32	2814	104196	383040	1	ENSG00000005189.21
ENSG00000005189.21.novel15	16	11960	9547	2571	2510	32	2571	100401	361440	1	ENSG00000005189.21
ENSG00000005189.21.novel2	22	18023	16164	3647	3084	44	3084	156630	610632	0	ENSG00000005189.21
ENSG00000005189.21.novel3	19	15616	12449	3449	2886	38	2886	131043	493506	1	ENSG00000005189.21
ENSG00000005189.21.novel5	17	12944	10058	2671	2517	34	2671	107838	385101	1	ENSG00000005189.21
ENSG00000005189.21.novel6	18	13930	10628	2693	2539	36	2693	115464	411318	1	ENSG00000005189.21
ENSG00000005189.21.novel8	17	12473	9650	2606	2452	34	2606	103788	375156	1	ENSG00000005189.21
ENSG00000005206.18.novel13	23	16315	15259	3870	2705	46	2705	143667	559935	1	ENSG00000005206.18
ENSG00000005206.18.novel32	12	9928	9486	3415	2318	24	2318	88026	250344	0	ENSG00000005206.18
ENSG00000005238.21.novel1	11	8164	6779	2668	2058	22	2058	69321	203742	1	ENSG00000005238.21
ENSG00000005238.21.novel12	11	8301	6364	2894	2288	22	2288	68898	226512	0	ENSG00000005238.21
ENSG00000005238.21.novel2	12	8507	7314	2585	1973	24	1973	72984	213084	1	ENSG00000005238.21
ENSG00000005243.11.novel1	14	7521	7595	2137	2016	28	2016	67911	254016	0	ENSG00000005243.11
ENSG00000005243.11.novel10	10	3567	5033	931	931	20	931	36501	83790	0	ENSG00000005243.11
ENSG00000005243.11.novel2	10	3495	4832	912	912	20	912	35466	82080	0	ENSG00000005243.11
ENSG00000005243.11.novel3	12	4693	6637	1109	1109	24	1109	48069	119772	0	ENSG00000005243.11
ENSG00000005243.11.novel4	8	2508	4054	859	859	16	859	27210	61848	0	ENSG00000005243.11
ENSG00000005243.11.novel5	22	12972	12170	2370	1599	44	1599	114342	316602	0	ENSG00000005243.11
ENSG00000005243.11.novel8	8	2441	3958	829	829	16	829	26520	59688	0	ENSG00000005243.11
ENSG00000005249.15.novel4	2	671	1121	1096	1096	4	1096	7389	19728	0	ENSG00000005249.15
ENSG00000005339.15.novel14	43	38270	36785	5435	3269	86	3269	339975	1265103	0	ENSG00000005339.15
ENSG00000005339.15.novel15	40	36453	34208	5105	3071	80	3071	321342	1105560	0	ENSG00000005339.15
ENSG00000005339.15.novel33	7	5467	3575	2771	1548	14	1548	43527	97524	0	ENSG00000005339.15
ENSG00000005436.15.novel1	11	6785	6518	1690	1329	22	1329	60264	131571	0	ENSG00000005436.15
ENSG00000005436.15.novel3	34	27963	19812	4445	2874	68	2874	227214	879444	1	ENSG00000005436.15
ENSG00000005436.15.novel4	36	29917	21413	4390	2877	72	2877	243741	932148	1	ENSG00000005436.15
ENSG00000005436.15.novel5	33	26963	18656	4262	2749	66	2749	217746	816453	1	ENSG00000005436.15
ENSG00000005448.18.novel4	6	2100	3429	1061	1061	12	1061	22887	57294	1	ENSG00000005448.18
ENSG00000005483.23.novel30	9	8336	5417	3443	3055	18	3443	66267	247455	0	ENSG00000005483.23
ENSG00000005483.23.novel39	21	18536	13626	4886	3949	42	3959	152094	746361	0	ENSG00000005483.23
ENSG00000005486.18.novel1	10	6741	6433	2745	2300	20	2300	59745	207000	1	ENSG00000005486.18
ENSG00000005486.18.novel4	10	6907	6512	1968	1725	20	1725	60978	155250	0	ENSG00000005486.18
ENSG00000005700.16.novel12	22	19216	13372	5552	4070	44	4608	155412	805860	0	ENSG00000005700.16
ENSG00000005700.16.novel16	24	18551	16682	3561	2621	48	2621	161352	566136	0	ENSG00000005700.16
ENSG00000005700.16.novel17	16	11448	9268	2641	1751	32	1751	96492	252144	0	ENSG00000005700.16
ENSG00000005700.16.novel22	15	7332	8780	2179	1460	30	1460	70332	197100	0	ENSG00000005700.16
ENSG00000005700.16.novel28	36	25139	21963	4268	3625	72	3625	216723	1174500	0	ENSG00000005700.16
ENSG00000005700.16.novel37	33	24263	22768	3910	2961	66	2961	213882	879417	0	ENSG00000005700.16
ENSG00000005700.16.novel5	14	10391	7809	2969	1975	28	1975	85773	248850	0	ENSG00000005700.16
ENSG00000005700.16.novel54	21	14085	10996	2898	1901	42	1901	117498	359289	0	ENSG00000005700.16
ENSG00000005700.16.novel7	20	13684	12860	2802	1910	40	1910	120684	343800	0	ENSG00000005700.16
ENSG00000005801.19.novel11	25	17133	14696	3261	2567	50	2567	146886	577575	1	ENSG00000005801.19
ENSG00000005801.19.novel2	25	17380	14696	3273	2579	50	2579	148368	580275	1	ENSG00000005801.19
ENSG00000005801.19.novel29	16	13387	9320	4959	3932	32	4266	108282	566208	0	ENSG00000005801.19
ENSG00000005801.19.novel3	33	24632	18473	4625	2696	66	2696	203211	800712	1	ENSG00000005801.19
ENSG00000005810.21.novel12	34	27440	20845	3574	2374	68	2374	227175	726444	0	ENSG00000005810.21
ENSG00000005810.21.novel18	9	2673	5032	1754	1293	18	1293	31134	104733	0	ENSG00000005810.21
ENSG00000005810.21.novel21	32	25257	23151	3268	3045	64	3045	220995	876960	0	ENSG00000005810.21
ENSG00000005810.21.novel23	18	16772	12761	4244	3603	36	4021	138915	583686	0	ENSG00000005810.21
ENSG00000005810.21.novel7	30	23145	16556	3226	2032	60	2032	188538	548640	0	ENSG00000005810.21
ENSG00000005810.21.novel8	51	42113	32486	5794	3296	102	3296	350136	1512864	0	ENSG00000005810.21
ENSG00000005812.12.novel1	21	17857	11720	4234	2488	42	2488	142302	470232	0	ENSG00000005812.12
ENSG00000005812.12.novel2	18	15007	10068	4042	2416	36	2416	120246	391392	1	ENSG00000005812.12
ENSG00000005812.12.novel9	22	14977	12723	3035	2008	44	2008	128031	397584	0	ENSG00000005812.12
ENSG00000005884.19.novel36	18	13488	12357	3396	2223	36	2223	117999	360126	1	ENSG00000005884.19
ENSG00000005884.19.novel5	29	22583	16150	5439	2999	58	2999	183948	782739	1	ENSG00000005884.19
ENSG00000005884.19.novel51	17	10043	10617	3073	2392	34	2392	92109	365976	1	ENSG00000005884.19
ENSG00000005884.19.novel52	30	25983	22804	6057	3886	60	4694	224310	1049220	0	ENSG00000005884.19
ENSG00000005884.19.novel6	17	9563	10181	2836	2160	34	2160	87921	330480	1	ENSG00000005884.19
ENSG00000005884.19.novel62	34	26880	20370	6650	3559	68	3559	222390	1089054	1	ENSG00000005884.19
ENSG00000005889.17.novel17	66	58880	39644	8268	4600	132	4600	472212	2732400	0	ENSG00000005889.17
ENSG00000006007.13.novel3	17	11769	9676	2759	1845	34	1845	99642	282285	0	ENSG00000006007.13
ENSG00000006007.13.novel4	19	12058	10483	3233	1954	38	1954	103797	334134	0	ENSG00000006007.13
ENSG00000006015.19.novel1	3	1004	1856	1242	1242	6	1242	11592	33534	0	ENSG00000006015.19
ENSG00000006025.14.novel8	17	13027	10276	3468	2945	34	3042	108990	450585	0	ENSG00000006025.14
ENSG00000006047.14.novel1	12	5805	7262	1690	1574	24	1574	56616	169992	1	ENSG00000006047.14
ENSG00000006118.15.novel5	23	18484	13529	6081	3390	46	3390	151491	701730	0	ENSG00000006118.15
ENSG00000006118.15.novel9	22	14934	11618	3528	2160	44	2160	124458	427680	0	ENSG00000006118.15
ENSG00000006125.19.novel1	44	38302	29818	5867	3647	88	3647	319266	1444212	0	ENSG00000006125.19
ENSG00000006125.19.novel10	27	21936	14269	4340	2776	54	2776	174423	674568	0	ENSG00000006125.19
ENSG00000006125.19.novel3	27	20862	18748	3685	2911	54	2911	181416	707373	0	ENSG00000006125.19
ENSG00000006194.12.novel1	7	4669	4331	2725	2678	14	2700	41007	168714	0	ENSG00000006194.12
ENSG00000006194.12.novel5	16	13365	9681	4083	3525	32	3679	109233	507600	1	ENSG00000006194.12
ENSG00000006194.12.novel67	24	20506	14929	5604	3257	48	3257	167823	703512	1	ENSG00000006194.12
ENSG00000006282.23.novel1	24	19811	16774	3443	2429	48	2429	169188	524664	1	ENSG00000006282.23
ENSG00000006282.23.novel13	17	11401	10410	2506	2135	34	2135	99636	326655	0	ENSG00000006282.23
ENSG00000006282.23.novel36	9	3071	4865	1299	1299	18	1299	33021	105219	0	ENSG00000006282.23
ENSG00000006282.23.novel46	27	19915	14853	3782	2470	54	2470	164049	600210	0	ENSG00000006282.23
ENSG00000006282.23.novel5	22	17240	13387	2831	2587	44	2831	143601	512226	0	ENSG00000006282.23
ENSG00000006282.23.novel9	23	18188	16708	2976	2342	46	2342	159252	484794	1	ENSG00000006282.23
ENSG00000006432.17.novel2	32	21573	18726	4365	2726	64	2726	185616	785088	0	ENSG00000006432.17
ENSG00000006453.15.novel2	24	19526	15506	3681	2375	48	2375	163674	513000	1	ENSG00000006453.15
ENSG00000006453.15.novel4	23	19419	15121	3694	2397	46	2397	161877	496179	1	ENSG00000006453.15
ENSG00000006453.15.novel6	22	18459	14505	3660	2363	44	2363	154269	467874	0	ENSG00000006453.15
ENSG00000006453.15.novel7	24	20074	15797	3549	2363	48	2363	167835	510408	1	ENSG00000006453.15
ENSG00000006468.16.novel1	39	28527	23518	4363	2727	78	2727	241716	957177	0	ENSG00000006468.16
ENSG00000006468.16.novel3	42	34973	24972	4991	2992	84	2992	284754	1130976	0	ENSG00000006468.16
ENSG00000006468.16.novel8	37	33805	22966	5007	3008	74	3008	271728	1001664	0	ENSG00000006468.16
ENSG00000006530.19.novel6	19	12074	11225	3602	2289	38	2289	106119	391419	1	ENSG00000006530.19
ENSG00000006530.19.novel7	19	13506	10401	4917	2856	38	2856	112239	488376	0	ENSG00000006530.19
ENSG00000006534.18.novel14	8	6844	5223	2441	1776	16	1776	56733	127872	0	ENSG00000006534.18
ENSG00000006534.18.novel2	12	10086	7923	2966	2114	24	2114	84285	228312	0	ENSG00000006534.18
ENSG00000006534.18.novel35	36	30109	20154	7037	5875	72	6185	241116	1903500	0	ENSG00000006534.18
ENSG00000006534.18.novel72	15	12306	9185	2743	1896	30	1896	101391	255960	0	ENSG00000006534.18
ENSG00000006534.18.novel76	22	19673	13314	5165	3462	44	3462	157980	685476	0	ENSG00000006534.18
ENSG00000006555.12.novel2	12	9267	9362	2611	2611	24	2611	83688	281988	1	ENSG00000006555.12
ENSG00000006555.12.novel4	14	11057	9185	2912	1944	28	1944	93897	244944	0	ENSG00000006555.12
ENSG00000006555.12.novel5	5	2755	2965	1513	1513	10	1513	25425	68085	0	ENSG00000006555.12
ENSG00000006555.12.novel7	25	21238	13548	5012	3011	50	3011	168072	677475	0	ENSG00000006555.12
ENSG00000006576.18.novel1	33	28428	19055	5102	3017	66	3017	227733	896049	0	ENSG00000006576.18
ENSG00000006576.18.novel19	19	13323	9915	3423	2234	38	2234	109683	382014	0	ENSG00000006576.18
ENSG00000006576.18.novel2	7	3935	4106	2098	2098	14	2098	35928	132174	0	ENSG00000006576.18
ENSG00000006576.18.novel55	7	3953	4138	2124	2124	14	2124	36132	133812	0	ENSG00000006576.18
ENSG00000006607.15.novel1	11	5045	7836	1757	1603	22	1603	53778	158697	0	ENSG00000006607.15
ENSG00000006607.15.novel3	42	33936	26655	7171	4120	84	4120	283581	1557360	0	ENSG00000006607.15
ENSG00000006625.19.novel2	13	7538	7292	2058	1458	26	1458	67104	170586	1	ENSG00000006625.19
ENSG00000006634.9.novel14	14	10187	8379	2685	1777	28	1777	86259	223902	0	ENSG00000006634.9
ENSG00000006634.9.novel15	6	2798	3170	1291	1149	12	1149	26298	62046	0	ENSG00000006634.9
ENSG00000006634.9.novel2	20	16180	11956	3789	2897	40	2897	132948	521460	0	ENSG00000006634.9
ENSG00000006634.9.novel3	20	15657	10946	3560	2668	40	2668	126780	480240	0	ENSG00000006634.9
ENSG00000006634.9.novel7	20	15144	11582	3554	2665	40	2665	125610	479700	0	ENSG00000006634.9
ENSG00000006652.15.novel3	38	29937	19883	7326	4210	76	4210	239271	1439820	1	ENSG00000006652.15
ENSG00000006652.15.novel58	22	15269	12050	3646	2460	44	2460	127764	487080	1	ENSG00000006652.15
ENSG00000006652.15.novel9	20	13812	11251	3567	2202	40	2202	116625	396360	1	ENSG00000006652.15
