"isoform_id"	"n_orfs"	"n_nmd_competent"	"max_orf_length"	"max_downstream_ejc"	"n_strong_kozak"	"n_strong_kozak_nmd_comp"	"best_kozak_nmd_comp"	"longest_nmd_comp_orf"	"tx_length"	"n_junctions"	"is_nmd"	"chr"
"ENSG00000004399.14.novel17"	18	1	1080	7	7	0	1	177	2210	9	0	"chr3"
"ENSG00000004399.14.novel18"	37	1	1392	7	8	0	1	177	4108	11	0	"chr3"
"ENSG00000004399.14.novel24"	45	7	3732	26	13	1	2	342	4866	29	0	"chr3"
"ENSG00000004399.14.novel25"	33	10	1563	13	8	0	1	345	3745	13	0	"chr3"
"ENSG00000004399.14.novel3"	30	15	468	2	7	2	2	261	3956	2	0	"chr3"
"ENSG00000004399.14.novel36"	29	3	1848	17	9	0	1	246	3542	18	0	"chr3"
"ENSG00000004399.14.novel6"	23	8	825	8	7	2	2	402	2817	8	0	"chr3"
"ENSG00000004399.14.novel8"	14	0	468	0	5	0	0	0	1776	4	0	"chr3"
"ENSG00000004399.14.novel9"	37	7	1080	10	10	2	2	177	4288	10	0	"chr3"
"ENSG00000004455.19.novel1"	66	6	576	6	12	3	2	138	5287	6	1	"chr1"
"ENSG00000004455.19.novel2"	55	8	402	3	14	6	2	402	4843	5	1	"chr1"
"ENSG00000004478.9.novel1"	49	13	1092	7	7	1	2	291	3782	8	1	"chr12"
"ENSG00000004478.9.novel4"	54	15	1362	8	8	2	2	327	4758	8	0	"chr12"
"ENSG00000004478.9.novel8"	36	3	402	2	6	0	1	216	2980	2	0	"chr12"
"ENSG00000004487.19.novel14"	21	14	1218	8	7	5	2	144	2537	8	0	"chr1"
"ENSG00000004487.19.novel5"	20	14	600	5	2	0	1	150	2099	5	0	"chr1"
"ENSG00000004534.16.novel1"	32	20	1929	17	5	3	2	351	2486	19	1	"chr3"
"ENSG00000004534.16.novel2"	51	41	1806	17	10	8	2	1563	3695	19	1	"chr3"
"ENSG00000004534.16.novel27"	68	47	2976	18	14	10	2	351	4435	18	0	"chr3"
"ENSG00000004534.16.novel3"	21	17	330	4	5	4	2	330	1954	6	1	"chr3"
"ENSG00000004660.16.novel2"	38	10	846	13	8	2	2	846	3609	14	1	"chr17"
"ENSG00000004700.17.novel1"	85	20	1950	15	9	0	1	177	5353	15	0	"chr12"
"ENSG00000004700.17.novel2"	90	25	1950	15	11	2	2	276	5843	15	0	"chr12"
"ENSG00000004700.17.novel21"	71	15	825	8	6	0	1	177	5011	8	0	"chr12"
"ENSG00000004700.17.novel5"	64	19	1950	15	8	0	1	177	4058	15	0	"chr12"
"ENSG00000004700.17.novel54"	62	7	804	5	10	0	1	147	5216	5	0	"chr12"
"ENSG00000004766.18.novel10"	92	36	1032	9	6	2	2	174	4890	9	0	"chr7"
"ENSG00000004766.18.novel8"	84	28	1032	8	7	3	2	162	5772	8	0	"chr7"
"ENSG00000004848.8.novel1"	11	1	603	3	4	0	1	267	2372	3	0	"chrX"
"ENSG00000004864.15.novel1"	40	16	1704	16	7	3	2	237	3331	16	1	"chr7"
"ENSG00000004864.15.novel10"	49	33	435	3	4	3	2	270	3586	3	0	"chr7"
"ENSG00000004864.15.novel2"	30	4	636	5	7	0	1	237	3878	5	0	"chr7"
"ENSG00000004864.15.novel20"	17	1	435	2	1	0	0	63	1425	2	0	"chr7"
"ENSG00000004864.15.novel4"	39	19	1176	16	6	5	2	762	3196	16	1	"chr7"
"ENSG00000004864.15.novel6"	17	3	564	4	2	0	1	237	2058	4	0	"chr7"
"ENSG00000004866.23.novel10"	45	9	1689	12	6	2	2	105	3599	14	0	"chr7"
"ENSG00000004866.23.novel14"	25	18	1299	14	4	3	2	1299	2419	16	1	"chr7"
"ENSG00000004866.23.novel16"	27	20	1230	15	4	3	2	1230	2777	15	1	"chr7"
"ENSG00000004866.23.novel20"	22	6	1290	9	4	2	2	105	1867	11	0	"chr7"
"ENSG00000004866.23.novel25"	36	18	1299	14	5	3	2	1299	3119	16	1	"chr7"
"ENSG00000004866.23.novel31"	25	18	807	15	4	3	2	807	2507	15	1	"chr7"
"ENSG00000004897.13.novel8"	12	12	903	10	1	1	2	903	1476	10	1	"chr17"
"ENSG00000004975.13.novel2"	45	27	1572	15	13	7	2	1572	3272	15	1	"chr17"
"ENSG00000004975.13.novel3"	42	10	2139	14	12	1	2	282	2949	14	0	"chr17"
"ENSG00000004975.13.novel4"	44	26	1560	15	12	6	2	1560	3075	15	1	"chr17"
"ENSG00000004975.13.novel9"	35	5	1746	7	9	0	1	111	2319	9	0	"chr17"
"ENSG00000005001.11.novel1"	11	5	534	3	3	3	2	237	1555	6	1	"chr16"
"ENSG00000005001.11.novel2"	11	4	954	3	3	2	2	105	1624	6	0	"chr16"
"ENSG00000005001.11.novel23"	12	6	534	5	3	3	2	237	1833	5	1	"chr16"
"ENSG00000005001.11.novel9"	13	7	762	4	3	3	2	762	3046	4	0	"chr16"
"ENSG00000005007.15.novel12"	33	20	939	7	5	5	2	198	4433	7	1	"chr19"
"ENSG00000005007.15.novel24"	37	13	2298	20	3	2	2	138	4619	20	0	"chr19"
"ENSG00000005007.15.novel25"	38	13	2331	16	4	2	2	165	4424	16	0	"chr19"
"ENSG00000005059.17.novel2"	27	6	747	6	3	0	1	105	2590	6	0	"chr4"
"ENSG00000005059.17.novel6"	32	15	531	8	5	2	2	516	3181	8	1	"chr4"
"ENSG00000005100.13.novel19"	65	22	999	5	10	3	2	276	6451	5	0	"chr17"
"ENSG00000005108.17.novel4"	70	20	1587	11	5	3	2	180	5050	11	0	"chr7"
"ENSG00000005156.13.novel1"	89	21	2769	18	15	3	2	165	8085	19	0	"chr17"
"ENSG00000005156.13.novel12"	59	7	975	6	9	1	2	123	6215	6	0	"chr17"
"ENSG00000005156.13.novel20"	83	24	1524	10	14	5	2	213	7987	10	0	"chr17"
"ENSG00000005175.11.novel1"	54	31	1371	15	8	6	2	1371	4182	16	1	"chr12"
"ENSG00000005175.11.novel2"	62	39	1917	16	9	7	2	1917	5237	17	1	"chr12"
"ENSG00000005175.11.novel62"	42	16	423	4	3	1	2	120	4702	4	0	"chr12"
"ENSG00000005187.13.novel1"	31	13	1872	13	4	3	2	183	2953	14	0	"chr16"
"ENSG00000005189.21.novel1"	35	23	1554	15	4	2	2	666	2814	18	1	"chr16"
"ENSG00000005189.21.novel2"	46	19	2325	18	5	0	1	159	3647	19	0	"chr16"
"ENSG00000005189.21.novel3"	43	22	1461	14	5	2	2	666	3449	17	1	"chr16"
"ENSG00000005189.21.novel5"	33	24	1554	17	3	2	2	666	2671	18	1	"chr16"
"ENSG00000005189.21.novel6"	33	20	2013	16	3	1	2	258	2693	19	1	"chr16"
"ENSG00000005189.21.novel8"	33	24	1554	17	3	2	2	354	2606	18	1	"chr16"
"ENSG00000005206.18.novel13"	34	15	978	13	11	5	2	978	3870	14	1	"chr19"
"ENSG00000005206.18.novel32"	23	6	1173	9	5	1	2	588	3415	9	0	"chr19"
"ENSG00000005238.21.novel1"	25	8	702	7	1	1	2	372	2668	9	1	"chr9"
"ENSG00000005238.21.novel12"	29	12	702	5	3	3	2	279	2894	5	0	"chr9"
"ENSG00000005238.21.novel2"	25	8	702	7	1	1	2	372	2585	9	1	"chr9"
"ENSG00000005243.11.novel1"	16	5	507	3	2	0	1	273	2137	5	0	"chr17"
"ENSG00000005243.11.novel10"	11	6	456	5	1	0	1	456	931	7	0	"chr17"
"ENSG00000005243.11.novel2"	12	2	555	5	0	0	1	57	912	7	0	"chr17"
"ENSG00000005243.11.novel3"	15	11	639	7	1	1	2	639	1109	9	0	"chr17"
"ENSG00000005243.11.novel5"	30	2	498	3	3	0	1	57	2370	5	0	"chr17"
"ENSG00000005243.11.novel79"	16	6	423	7	1	0	1	174	1234	7	0	"chr17"
"ENSG00000005243.11.novel8"	9	6	378	4	0	0	1	378	829	6	0	"chr17"
"ENSG00000005249.15.novel4"	9	9	159	6	1	1	2	159	1096	6	0	"chr7"
"ENSG00000005339.15.novel14"	74	3	2502	1	12	0	1	153	5435	3	0	"chr16"
"ENSG00000005339.15.novel15"	69	0	2349	0	11	0	0	0	5105	1	0	"chr16"
"ENSG00000005339.15.novel33"	9	8	108	9	1	1	2	108	2771	9	0	"chr16"
"ENSG00000005436.15.novel1"	23	0	672	0	6	0	0	0	1690	2	0	"chr2"
"ENSG00000005436.15.novel3"	52	28	1059	13	6	5	2	1059	4445	15	1	"chr2"
"ENSG00000005436.15.novel4"	55	34	1701	13	6	5	2	1701	4390	15	1	"chr2"
"ENSG00000005436.15.novel5"	51	30	1059	12	6	5	2	1059	4262	14	1	"chr2"
"ENSG00000005448.18.novel4"	16	14	612	7	3	2	2	612	1061	8	1	"chr2"
"ENSG00000005483.23.novel30"	38	20	1656	13	5	2	2	402	3443	13	0	"chr7"
"ENSG00000005483.23.novel39"	51	21	1656	12	8	3	2	402	4886	12	0	"chr7"
"ENSG00000005486.18.novel1"	29	3	771	2	7	3	2	375	2745	3	1	"chr7"
"ENSG00000005486.18.novel4"	22	0	771	0	4	0	0	0	1968	1	0	"chr7"
"ENSG00000005700.16.novel12"	63	38	1578	12	10	5	2	330	5552	12	0	"chr6"
"ENSG00000005700.16.novel16"	40	15	1626	13	5	0	1	174	3561	13	0	"chr6"
"ENSG00000005700.16.novel17"	29	11	723	4	1	0	1	174	2641	4	0	"chr6"
"ENSG00000005700.16.novel22"	24	7	687	4	2	0	1	174	2179	5	0	"chr6"
"ENSG00000005700.16.novel28"	58	29	2256	10	15	7	2	201	4268	10	0	"chr6"
"ENSG00000005700.16.novel37"	50	20	2385	17	6	0	1	174	3910	17	0	"chr6"
"ENSG00000005700.16.novel5"	25	11	510	3	1	1	2	213	2969	3	0	"chr6"
"ENSG00000005700.16.novel54"	36	23	1143	4	10	7	2	144	2898	4	0	"chr6"
"ENSG00000005700.16.novel7"	30	10	1263	6	4	0	1	174	2802	9	0	"chr6"
"ENSG00000005801.19.novel11"	41	5	1593	5	4	0	1	261	3261	5	1	"chr11"
"ENSG00000005801.19.novel2"	41	5	1593	5	4	0	1	261	3273	5	1	"chr11"
"ENSG00000005801.19.novel29"	49	13	1593	1	4	0	1	219	4959	1	0	"chr11"
"ENSG00000005801.19.novel3"	49	7	1719	4	8	2	2	168	4625	4	1	"chr11"
"ENSG00000005810.21.novel12"	51	22	1260	8	6	3	2	267	3574	8	0	"chr13"
"ENSG00000005810.21.novel18"	13	1	276	2	3	1	2	42	1754	2	0	"chr13"
"ENSG00000005810.21.novel21"	62	29	2184	14	8	5	2	267	3268	16	0	"chr13"
"ENSG00000005810.21.novel7"	39	15	636	3	4	2	2	267	3226	3	0	"chr13"
"ENSG00000005810.21.novel8"	71	21	1716	11	12	4	2	267	5794	12	0	"chr13"
"ENSG00000005812.12.novel1"	44	1	831	3	3	0	0	69	4234	3	0	"chr13"
"ENSG00000005812.12.novel2"	45	4	684	4	6	0	1	168	4042	4	1	"chr13"
"ENSG00000005812.12.novel9"	38	3	966	2	3	0	1	63	3035	2	0	"chr13"
"ENSG00000005884.19.novel15"	60	40	2685	22	10	10	2	2685	5765	22	0	"chr17"
"ENSG00000005884.19.novel22"	45	25	1845	17	8	8	2	1845	4047	17	0	"chr17"
"ENSG00000005884.19.novel36"	37	17	1017	11	8	8	2	1017	3396	11	1	"chr17"
"ENSG00000005884.19.novel51"	34	14	819	7	5	5	2	819	3073	7	1	"chr17"
"ENSG00000005884.19.novel52"	65	45	3114	26	8	8	2	3114	6057	26	0	"chr17"
"ENSG00000005884.19.novel6"	32	12	747	6	5	5	2	747	2836	6	1	"chr17"
"ENSG00000005889.17.novel17"	110	30	2343	5	14	2	2	159	8268	5	0	"chrX"
"ENSG00000006007.13.novel3"	36	7	666	4	6	2	2	126	2759	4	0	"chr16"
"ENSG00000006007.13.novel4"	43	14	633	3	7	3	2	102	3233	3	0	"chr16"
"ENSG00000006015.19.novel1"	9	3	642	2	2	0	1	546	1242	2	0	"chr19"
"ENSG00000006025.14.novel8"	33	20	1155	8	6	3	2	360	3468	8	0	"chr17"
"ENSG00000006047.14.novel1"	20	10	513	6	4	3	2	513	1690	8	1	"chr17"
"ENSG00000006118.15.novel5"	51	5	1140	4	10	1	2	147	6081	4	0	"chr11"
"ENSG00000006125.19.novel1"	83	30	2856	21	12	3	2	150	5867	21	0	"chr17"
"ENSG00000006125.19.novel10"	46	15	321	3	6	2	2	162	4340	3	0	"chr17"
"ENSG00000006125.19.novel3"	44	21	2202	14	6	2	2	150	3685	14	0	"chr17"
"ENSG00000006194.12.novel1"	28	6	999	3	4	2	2	468	2725	3	0	"chr16"
"ENSG00000006194.12.novel5"	32	12	1383	4	8	3	2	576	4083	4	1	"chr16"
"ENSG00000006194.12.novel67"	50	9	1440	4	11	2	2	450	5604	4	1	"chr16"
"ENSG00000006282.23.novel1"	43	34	1581	14	6	4	2	1581	3443	15	1	"chr17"
"ENSG00000006282.23.novel13"	28	10	888	4	5	1	2	141	2506	4	0	"chr17"
"ENSG00000006282.23.novel36"	14	4	852	4	2	1	2	141	1299	5	0	"chr17"
"ENSG00000006282.23.novel46"	43	29	366	3	7	3	2	321	3782	3	0	"chr17"
"ENSG00000006282.23.novel5"	38	17	2361	16	5	2	2	183	2831	17	0	"chr17"
"ENSG00000006282.23.novel9"	40	34	1761	11	5	4	2	1761	2976	15	1	"chr17"
"ENSG00000006432.17.novel2"	50	17	1299	2	10	5	2	267	4365	2	0	"chr14"
"ENSG00000006453.15.novel2"	51	23	1272	12	8	3	2	1272	3681	13	1	"chr7"
"ENSG00000006453.15.novel4"	48	13	1317	11	7	2	2	219	3694	12	1	"chr7"
"ENSG00000006453.15.novel6"	47	12	1407	11	6	2	2	189	3660	11	0	"chr7"
"ENSG00000006453.15.novel7"	47	13	1245	10	7	2	2	252	3549	11	1	"chr7"
"ENSG00000006468.16.novel1"	75	14	1419	11	9	1	2	315	4363	11	0	"chr7"
"ENSG00000006468.16.novel3"	86	26	1041	10	11	3	2	318	4991	10	0	"chr7"
"ENSG00000006468.16.novel8"	81	19	1434	12	10	1	2	315	5007	12	0	"chr7"
"ENSG00000006530.19.novel6"	33	10	801	10	3	1	2	435	3602	14	1	"chr7"
"ENSG00000006530.19.novel7"	33	3	522	6	4	0	1	261	4917	7	0	"chr7"
"ENSG00000006534.18.novel14"	12	2	1137	1	2	0	1	177	2441	8	0	"chr11"
"ENSG00000006534.18.novel2"	27	9	1314	2	8	2	2	1314	2966	9	0	"chr11"
"ENSG00000006534.18.novel35"	62	40	819	6	13	6	2	525	7037	6	0	"chr11"
"ENSG00000006534.18.novel72"	26	4	819	4	8	1	2	177	2743	4	0	"chr11"
"ENSG00000006534.18.novel76"	48	18	819	3	13	4	2	399	5165	3	0	"chr11"
"ENSG00000006555.12.novel1"	25	23	1710	7	7	7	2	1710	3139	7	0	"chr1"
"ENSG00000006555.12.novel2"	24	21	1710	7	6	6	2	1710	2611	7	1	"chr1"
"ENSG00000006555.12.novel4"	33	5	1032	5	6	0	1	252	2912	5	0	"chr1"
"ENSG00000006555.12.novel5"	16	4	1170	5	4	0	1	252	1513	5	0	"chr1"
"ENSG00000006555.12.novel7"	40	28	648	1	8	4	2	240	5012	1	0	"chr1"
"ENSG00000006576.18.novel1"	58	22	2112	15	9	6	2	321	5102	16	0	"chr7"
"ENSG00000006576.18.novel19"	34	3	522	4	3	0	1	90	3423	4	0	"chr7"
"ENSG00000006576.18.novel2"	25	19	1365	9	6	6	2	321	2098	10	0	"chr7"
"ENSG00000006576.18.novel55"	31	12	1356	8	6	5	2	291	2124	9	0	"chr7"
"ENSG00000006607.15.novel3"	86	5	2388	11	13	0	1	144	7171	12	0	"chr2"
"ENSG00000006625.19.novel2"	21	8	501	4	6	3	2	501	2058	4	1	"chr7"
"ENSG00000006634.9.novel14"	29	5	969	6	8	2	2	72	2685	9	0	"chr7"
"ENSG00000006634.9.novel15"	8	8	135	8	2	2	2	135	1291	10	0	"chr7"
"ENSG00000006634.9.novel2"	29	8	1353	8	6	2	2	411	3789	11	0	"chr7"
"ENSG00000006634.9.novel3"	28	8	738	8	6	2	2	135	3560	10	0	"chr7"
"ENSG00000006634.9.novel7"	29	8	1353	9	6	2	2	72	3554	10	0	"chr7"
"ENSG00000006652.15.novel3"	64	36	294	2	10	7	2	294	7326	2	1	"chr7"
"ENSG00000006652.15.novel58"	43	15	561	5	6	3	2	135	3646	5	1	"chr7"
"ENSG00000006652.15.novel9"	40	7	807	7	6	2	2	222	3567	7	1	"chr7"
"ENSG00000006704.12.novel24"	20	6	1050	10	2	0	1	150	2023	10	0	"chr7"
"ENSG00000006712.16.novel2"	38	14	1437	9	9	3	2	189	2130	12	1	"chr19"
"ENSG00000006715.17.novel23"	55	23	579	7	7	3	2	204	4629	7	0	"chr7"
"ENSG00000006715.17.novel3"	74	6	795	6	12	2	2	135	5908	8	0	"chr7"
"ENSG00000006715.17.novel4"	62	37	2409	27	8	6	2	2409	4948	29	1	"chr7"
"ENSG00000006715.17.novel63"	21	6	1209	11	5	2	2	135	2002	13	0	"chr7"
"ENSG00000006740.19.novel13"	28	3	462	1	2	0	1	300	2433	1	0	"chr17"
"ENSG00000006740.19.novel19"	26	0	711	0	2	0	0	0	2306	2	0	"chr17"
"ENSG00000006744.20.novel2"	43	21	1455	17	7	3	2	897	4126	23	1	"chr17"
"ENSG00000006744.20.novel7"	41	21	1284	16	7	3	2	1245	4072	22	1	"chr17"
"ENSG00000006747.16.novel1"	44	25	1671	16	9	6	2	591	3683	16	1	"chr7"
"ENSG00000006756.17.novel1"	38	3	1002	1	8	2	2	108	3259	5	0	"chrX"
"ENSG00000006757.13.novel3"	40	8	417	7	8	2	2	417	3554	7	1	"chrX"
"ENSG00000006837.12.novel1"	17	5	483	2	3	1	2	249	1207	4	1	"chr5"
"ENSG00000006837.12.novel2"	13	1	558	1	3	0	1	48	972	3	0	"chr5"
"ENSG00000007038.12.novel1"	33	2	768	1	5	0	1	159	3220	4	0	"chr16"
"ENSG00000007038.12.novel2"	13	4	939	5	2	0	1	159	1230	5	0	"chr16"
"ENSG00000007038.12.novel3"	31	0	612	0	4	0	0	0	3367	3	0	"chr16"
"ENSG00000007038.12.novel4"	14	2	762	1	2	0	1	159	1375	4	0	"chr16"
"ENSG00000007047.17.novel3"	24	8	1248	6	7	2	2	276	2969	6	0	"chr19"
"ENSG00000007047.17.novel6"	54	4	1200	2	9	1	2	276	5871	5	0	"chr19"
"ENSG00000007047.17.novel9"	28	12	1932	15	8	3	2	339	3419	15	0	"chr19"
"ENSG00000007129.19.novel1"	18	0	483	0	5	0	0	0	3487	1	0	"chr19"
"ENSG00000007129.19.novel2"	11	1	483	1	3	1	2	45	2672	2	0	"chr19"
"ENSG00000007129.19.novel3"	13	6	495	6	6	2	2	144	1898	7	0	"chr19"
"ENSG00000007168.16.novel1"	68	20	786	11	11	5	2	624	6011	11	1	"chr17"
"ENSG00000007202.17.novel1"	14	7	936	9	5	1	2	222	1300	9	0	"chr17"
"ENSG00000007306.16.novel1"	27	9	474	3	7	2	2	474	2208	3	0	"chr19"
"ENSG00000007341.20.novel2"	38	10	1575	12	6	2	2	102	3255	12	0	"chr1"
"ENSG00000007341.20.novel3"	27	8	1356	11	4	2	2	102	2510	11	0	"chr1"
"ENSG00000007341.20.novel6"	8	3	468	3	2	1	2	60	1814	3	1	"chr1"
"ENSG00000007341.20.novel9"	48	11	1362	12	5	3	2	213	4193	13	1	"chr1"
"ENSG00000007384.16.novel1"	30	15	2637	14	4	2	2	306	3307	16	0	"chr16"
"ENSG00000007384.16.novel14"	12	5	1134	3	0	0	1	189	1686	8	0	"chr16"
"ENSG00000007384.16.novel20"	13	3	717	1	1	0	1	165	1655	3	0	"chr16"
"ENSG00000007384.16.novel49"	12	6	786	2	0	0	1	135	1643	2	0	"chr16"
"ENSG00000007384.16.novel50"	21	18	540	1	1	1	2	327	2964	1	0	"chr16"
"ENSG00000007384.16.novel58"	22	12	1632	10	4	2	2	387	2420	10	0	"chr16"
"ENSG00000007392.18.novel2"	40	28	957	8	6	3	2	357	3949	8	0	"chr16"
"ENSG00000007392.18.novel76"	27	22	858	11	4	2	2	243	2850	11	1	"chr16"
"ENSG00000007392.18.novel77"	32	31	720	11	7	6	2	720	3494	11	1	"chr16"
"ENSG00000007402.13.novel1"	19	1	579	2	5	0	1	261	2032	3	0	"chr3"
